date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:42:29	67/67	---MC-	200	added ('OK')	text/plain	date:Tue,%2004%20Feb%202020%2005:42:28%20GMT	http://bunagcorteslaw.com/robots.txt		(from )
13:42:35	74856/74856	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2005:42:29%20GMT	http://bunagcorteslaw.com/	/Users/francis/websites/bcslaw/bunagcorteslaw.com/index.html	(from )
13:42:38	1686/1686	---MC-	200	added ('OK')	application/rss+xml	etag:%22066f1fef3fd367906787d6554664e9a6%22	http://bunagcorteslaw.com/feed/	/Users/francis/websites/bcslaw/bunagcorteslaw.com/feed/index.html	(from http://bunagcorteslaw.com/)
13:42:39	1514/1514	---MC-	200	added ('OK')	application/rss+xml	etag:%22dc99e98fa7b0ce8373c7f12427a89dbc%22	http://bunagcorteslaw.com/comments/feed/	/Users/francis/websites/bcslaw/bunagcorteslaw.com/comments/feed/index.html	(from http://bunagcorteslaw.com/)
13:42:40	63187/63187	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Feb%202020%2005:42:35%20GMT	http://bunagcorteslaw.com/images/icons.png	/Users/francis/websites/bcslaw/bunagcorteslaw.com/images/icons.0.delayed	(from http://bunagcorteslaw.com/)
13:42:46	63187/63187	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Feb%202020%2005:42:40%20GMT	http://bunagcorteslaw.com/images/ui-icons_454545_256x240.png	/Users/francis/websites/bcslaw/bunagcorteslaw.com/images/ui-icons_454545_256x240.1.delayed	(from http://bunagcorteslaw.com/)
13:42:48	84879/84879	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Oct%202019%2002:03:07%20GMT	http://bunagcorteslaw.com/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.1.1	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/themes/astra/assets/css/minified/style.mine1fc.css	(from http://bunagcorteslaw.com/)
13:42:50	3304/3304	---M--	200	added ('OK')	font/woff	date:Fri,%2011%20Oct%202019%2002:03:07%20GMT	http://bunagcorteslaw.com/wp-content/themes/astra/assets/fonts/astra.woff	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/themes/astra/assets/fonts/astra.woff	(from http://bunagcorteslaw.com/)
13:42:50	3412/3412	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Oct%202019%2002:03:07%20GMT	http://bunagcorteslaw.com/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=2.1.1	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/themes/astra/assets/css/minified/menu-animation.mine1fc.css	(from http://bunagcorteslaw.com/)
13:42:50	25242/25242	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Jan%202019%2019:38:57%20GMT	http://bunagcorteslaw.com/wp-includes/css/dist/block-library/style.min.css?ver=5.1.3	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-includes/css/dist/block-library/style.minbdeb.css	(from http://bunagcorteslaw.com/)
